#arr. size row Maj. col Maj.
100.000000 0.000040 0.000043
200.000000 0.000160 0.000165
300.000000 0.000347 0.000429
400.000000 0.000592 0.000726
500.000000 0.000886 0.001591
600.000000 0.001183 0.002614
700.000000 0.001634 0.003891
800.000000 0.002100 0.005086
900.000000 0.002677 0.006899
1000.000000 0.003307 0.009133
1100.000000 0.004196 0.014782
1200.000000 0.005072 0.013549
1300.000000 0.006095 0.016195
1400.000000 0.007211 0.018396
1500.000000 0.008448 0.032558
1600.000000 0.009751 0.024737
1700.000000 0.011200 0.028441
1800.000000 0.012652 0.031516
1900.000000 0.014356 0.041240
2000.000000 0.016065 0.039652
